DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX,sample_weight
2544.875,101.1279727,20.0,2.483,132,5.54,7.13,178.4679834,0.9991668782961405
2545.0,102.6041665,20.8,2.483,134,5.31,6.87,180.1395157,0.9985497418310627
2545.125,103.3702039,21.5,2.503,138,5.21,6.74,179.9634672,0.998162669044187
2545.25,103.2529978,21.9,2.534,142,5.18,6.69,177.9675629,0.9982248479660993
2545.375,101.9604033,21.8,2.561,144,5.26,6.76,174.3715425,0.99883973473125
2545.5,99.33663366,21.3,2.559,146,5.52,7.0,169.8160963,0.9996876787472871
2545.625,93.4343981,20.1,2.535,147,6.13,7.57,165.4553578,0.9996308527312994
2545.75,90.52599055,18.7,2.517,149,7.24,8.65,162.0900703,0.9986027760084495
2545.875,89.0775586,17.6,2.513,151,8.54,9.88,160.2773298,0.9978451659832905
2546.0,87.55387382,16.9,2.498,152,9.48,10.66,160.3124132,0.9968724553309029
2546.125,88.13482854,16.6,2.444,151,9.56,10.54,162.1532104,0.9972645563628644
2546.25,90.32330919,16.4,2.366,149,8.91,9.74,165.7533965,0.9985065759719829
2546.375,93.31007756,16.7,2.298,147,7.86,8.63,170.1449497,0.9996004004994248
2546.5,96.76784075,17.8,2.285,146,6.82,7.55,174.7448026,0.9999973787210095
2546.625,100.1963869,19.2,2.335,145,6.13,6.79,179.1271961,0.9999794118700387
2546.75,102.9147121,20.3,2.421,143,5.91,6.48,183.0119622,0.9999853599563683
2546.875,103.5730947,21.0,2.486,141,5.99,6.51,186.1330252,0.9999999166833459
2547.0,105.0220737,21.5,2.531,139,6.12,6.62,188.2261518,0.9999461356675448
2547.125,106.1881044,22.0,2.543,138,6.16,6.66,189.829945,0.9999978386962293
2547.25,107.5139354,22.2,2.521,135,6.1,6.6,191.023277,0.9999999910852176
2547.375,109.2318295,22.3,2.488,133,5.98,6.48,191.8156293,0.999994006858011
2547.5,110.8571153,22.7,2.472,131,5.83,6.33,192.2090137,0.9998410981284406
2547.625,111.1936474,23.3,2.48,131,5.64,6.14,192.2099159,0.999783655339512
2547.75,111.6027806,23.6,2.503,134,5.46,5.93,191.4182132,0.9997019111201196
2547.875,111.1883127,23.6,2.532,139,5.35,5.78,190.0316088,0.999784634897963
2548.0,110.1583781,23.0,2.559,143,5.35,5.73,188.1427421,0.9999321208224474
2548.125,108.9954913,21.9,2.577,146,5.47,5.82,185.8594126,0.9999990571994979
2548.25,106.9773646,20.7,2.585,145,5.73,6.04,183.5227984,0.9998644657452663
2548.375,104.7961614,20.0,2.591,142,6.1,6.38,181.8383398,0.9993613868424154
2548.5,104.0831283,20.2,2.591,136,6.56,6.81,180.8876672,0.9991164410005403
2548.625,104.4995442,20.9,2.576,130,6.99,7.21,180.8163514,0.9992643049353942
2548.75,105.8329425,21.4,2.542,126,7.29,7.48,181.5725226,0.9996468122165428
2548.875,108.2005389,21.2,2.496,126,7.4,7.55,182.8769669,0.9999840203362931
2549.0,109.482117,21.2,2.455,126,7.33,7.48,184.3903363,0.9999839008560826
