DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX
2431.625,102.6108091,23.8,2.463,142,5.15,4.99,201.0492125
2431.75,101.606463,22.6,2.465,143,5.09,4.93,201.5815575
2431.875,99.65562211,21.8,2.465,142,5.01,4.85,201.5035276
2432,96.88647946,21.3,2.464,141,4.94,4.77,200.787963
2432.125,94.68019665,21,2.463,140,4.91,4.73,199.2948528
2432.25,92.7328107,20.8,2.463,138,4.94,4.75,196.1170437
2432.375,90.42030663,20.7,2.468,134,5.06,4.87,191.6336841
2432.5,88.0171437,20.9,2.478,129,5.35,5.16,186.0017201
2432.625,85.63135827,20.8,2.482,125,5.86,5.63,179.3885131
2432.75,83.0861981,19.9,2.465,123,6.66,6.33,172.018836
2432.875,79.4268313,18,2.422,119,7.63,7.18,164.6553189
2433,77.50939101,16.2,2.377,114,8.45,7.93,158.5940459
2433.125,76.57542362,15.4,2.362,109,8.75,8.25,154.4028432
2433.25,77.1303126,15.6,2.386,110,8.41,8.02,152.4944039
2433.375,79.43335689,16.8,2.432,115,7.67,7.39,153.0645893
2433.5,82.58517776,18.5,2.467,122,6.78,6.6,156.0961674
2433.625,82.53067185,20.2,2.471,127,6.04,5.93,159.6654982
2433.75,85.20087054,21.2,2.447,130,5.62,5.53,163.3346581
2433.875,91.56066129,21.5,2.423,130,5.62,5.51,166.8079575
2434,98.05007244,21.7,2.422,130,5.89,5.75,169.7567965
2434.125,99.63632572,21.7,2.444,132,6.25,6.1,171.9162699
2434.25,100.5785829,21.8,2.467,136,6.5,6.4,173.3569687
2434.375,99.43009606,22.2,2.475,138,6.54,6.53,173.9344228
2434.5,97.87884829,23.2,2.472,137,6.33,6.45,174.029089
2434.625,96.45928491,24.1,2.47,135,6.04,6.26,173.8884539
2434.75,96.2205372,24.1,2.474,133,5.83,6.1,173.6860028
2434.875,99.21143353,23,2.481,131,5.77,6.03,173.4805589
2435,93.86981608,21.7,2.486,130,5.8,6.04,173.5452734
2435.125,92.15403642,20.8,2.486,131,5.83,6.06,173.8343821
2435.25,91.12056411,20.4,2.478,135,5.82,6.06,174.3240095
2435.375,90.37046883,20.1,2.467,137,5.77,6.02,174.9053542
2435.5,90.59996319,19.9,2.459,138,5.73,5.99,175.4591953
2435.625,90.7804914,19.8,2.462,137,5.74,6,176.0189066
2435.75,92.0975836,19.8,2.474,135,5.76,6.02,176.2668652
2435.875,93.40735079,20.1,2.484,134,5.74,6,176.2817152
2436,94.27483753,20.4,2.483,133,5.63,5.91,176.1197787
2436.125,94.59203688,20.5,2.473,134,5.51,5.78,175.7284087
2436.25,94.51719311,20.4,2.472,134,5.42,5.69,174.9323459
2436.375,92.79581844,20.5,2.5,133,5.42,5.68,173.8953544
2436.5,91.55064127,20.7,2.555,130,5.5,5.75,172.6848672
2436.625,90.1119748,20.7,2.607,128,5.63,5.88,171.6769323
2436.75,89.71600446,19.9,2.618,129,5.75,5.99,171.2071186
2436.875,91.31558878,18.9,2.58,130,5.8,6.04,171.5572482
2437,92.35372854,18.7,2.522,131,5.69,5.94,172.9876124
2437.125,92.69898268,19.5,2.471,133,5.46,5.7,175.6023945
2437.25,96.16842625,20.8,2.433,136,5.17,5.4,178.7229017
2437.375,100.3725451,21.6,2.404,140,4.95,5.16,181.9604758
2437.5,103.2680111,21.7,2.386,142,4.85,5.04,184.9009673
2437.625,104.2413718,21.7,2.388,142,4.89,5.05,187.1177331
2437.75,106.8812996,21.8,2.409,139,5.02,5.15,187.9641898
2437.875,108.1483728,22.2,2.432,137,5.19,5.29,187.4848729
2438,107.6802478,22.5,2.445,135,5.39,5.48,185.8197942
2438.125,105.8828404,22.7,2.447,135,5.65,5.74,183.1587919
2438.25,103.6684027,22.6,2.446,134,6.01,6.06,179.7810192
2438.375,102.4514572,22,2.452,133,6.49,6.46,176.0355304
2438.5,99.12713031,20.9,2.466,131,7.07,6.94,172.4622031
2438.625,96.09322841,19.8,2.487,128,7.62,7.42,169.56486
2438.75,94.05535702,19.2,2.508,125,7.85,7.63,167.507694
2438.875,93.34865,18.7,2.519,122,7.64,7.44,166.470525
2439,93.87670965,18.4,2.517,121,7.11,6.94,166.595786
2439.125,94.35579429,18.8,2.508,123,6.53,6.38,167.763847
2439.25,95.42377795,19.7,2.499,127,6.05,5.93,169.3799602
2439.375,96.70163799,20.6,2.489,130,5.75,5.63,171.1673503
2439.5,98.17004449,20.9,2.474,130,5.69,5.54,172.808766
2439.625,99.40479331,21.1,2.455,130,5.83,5.62,174.1151252
2439.75,99.11788386,21.8,2.436,130,6.04,5.77,175.1731961
2439.875,99.39208865,22.7,2.42,130,6.18,5.86,176.1995302
2440,99.65386555,23.1,2.407,131,6.2,5.84,177.3713079
2440.125,99.85299055,22.5,2.396,131,6.08,5.72,178.6472932
2440.25,99.96208898,21.6,2.393,131,5.9,5.56,179.8534264
2440.375,99.94390354,20.9,2.403,132,5.72,5.39,180.755076
2440.5,99.61237467,20.5,2.427,132,5.6,5.28,181.1502531
2440.625,99.2893479,20.6,2.453,130,5.55,5.23,180.8798478
2440.75,98.57863524,21,2.475,129,5.57,5.23,180.1867417
2440.875,97.47013248,21.1,2.491,128,5.61,5.27,179.4024151
2441,96.22417415,20.7,2.503,130,5.66,5.31,178.8477458
2441.125,95.35969961,19.9,2.511,131,5.7,5.34,178.7594368
2441.25,95.21681903,19.5,2.513,130,5.74,5.35,179.3687708
2441.375,95.4174586,19.4,2.506,128,5.75,5.35,180.7926486
2441.5,96.25923819,19.8,2.49,128,5.69,5.32,182.7671728
2441.625,97.38195276,20.5,2.472,130,5.56,5.26,185.0159131
2441.75,98.26549278,21.4,2.459,134,5.37,5.15,187.3082606
2441.875,99.02615551,22.1,2.454,136,5.15,5.02,189.610836
2442,100.300992,22.4,2.453,136,4.96,4.91,191.2096701
2442.125,101.5401224,22.4,2.45,136,4.84,4.87,192.2272408
2442.25,102.4294337,22.5,2.445,137,4.81,4.91,192.7840358
2442.375,102.8454701,22.8,2.44,137,4.84,5.01,192.9296718
2442.5,102.8454944,23.3,2.435,136,4.91,5.15,192.6398135
2442.625,101.9817313,23.3,2.427,134,4.98,5.28,192.2787571
