DEPTH,GR,CNL,DT,DEN,MSFL,RS,RD,Well Name,Facies
2352.2400,127.3224,20.8965,91.0090,2.6606,5.6563,5.7531,6.5813,1,3
2352.2600,127.1690,20.8238,91.0078,2.6565,5.6877,5.7621,6.5936,1,3
2352.2800,127.0069,20.7464,91.0016,2.6518,5.7192,5.7725,6.6073,1,3
2352.3000,126.8351,20.6642,90.9915,2.6466,5.7504,5.7844,6.6223,1,3
2352.3200,126.6534,20.5769,90.9777,2.6409,5.7813,5.7978,6.6385,1,3
2352.3400,126.4660,20.4887,90.9538,2.6348,5.8094,5.8126,6.6563,1,3
2352.3600,126.2835,20.4097,90.9044,2.6286,5.8287,5.8289,6.6768,1,3
2352.3800,126.1065,20.3403,90.8283,2.6225,5.8388,5.8467,6.7000,1,3
2352.4000,125.9365,20.2837,90.7199,2.6164,5.8375,5.8659,6.7263,1,3
2352.4200,125.7743,20.2410,90.5769,2.6103,5.8239,5.8866,6.7559,1,3
2352.4400,125.6217,20.2092,90.4078,2.6043,5.8011,5.9087,6.7881,1,3
2352.4600,125.4826,20.1808,90.2332,2.5985,5.7766,5.9320,6.8218,1,3
2352.4800,125.3573,20.1557,90.0542,2.5928,5.7510,5.9566,6.8568,1,3
2352.5000,125.2478,20.1322,89.8726,2.5872,5.7262,5.9826,6.8930,1,3
2352.5200,125.1548,20.1099,89.6892,2.5818,5.7031,6.0099,6.9303,1,3
2352.5400,125.0752,20.0887,89.5116,2.5765,5.6796,6.0383,6.9683,1,3
2352.5600,125.0014,20.0686,89.3586,2.5715,5.6513,6.0667,7.0061,1,3
2352.5800,124.9332,20.0497,89.2312,2.5667,5.6176,6.0953,7.0438,1,3
2352.6000,124.8705,20.0320,89.1356,2.5621,5.5770,6.1238,7.0811,1,3
2352.6200,124.8132,20.0154,89.0742,2.5577,5.5287,6.1522,7.1180,1,3
2352.6400,124.7564,19.9997,89.0400,2.5535,5.4758,6.1804,7.1542,1,3
2352.6600,124.6880,19.9842,89.0162,2.5496,5.4256,6.2080,7.1891,1,3
2352.6800,124.6075,19.9690,89.0019,2.5459,5.3787,6.2350,7.2226,1,3
2352.7000,124.5115,19.9537,88.9944,2.5425,5.3357,6.2613,7.2546,1,3
2352.7200,124.3987,19.9381,88.9924,2.5394,5.2969,6.2869,7.2852,1,3
2352.7400,124.2715,19.9231,88.9945,2.5366,5.2650,6.3117,7.3140,1,3
2352.7600,124.1358,19.9110,88.9969,2.5342,5.2469,6.3354,7.3406,1,3
2352.7800,123.9919,19.9019,88.9993,2.5322,5.2430,6.3580,7.3648,1,3
2352.8000,123.8390,19.8966,89.0007,2.5307,5.2549,6.3795,7.3867,1,3
2352.8200,123.6768,19.8955,89.0005,2.5297,5.2833,6.4000,7.4062,1,3
2352.8400,123.5115,19.8973,88.9995,2.5292,5.3277,6.4190,7.4231,1,3
2352.8600,123.3580,19.8988,88.9991,2.5293,5.3863,6.4349,7.4364,1,3
2352.8800,123.2172,19.8999,88.9995,2.5298,5.4592,6.4477,7.4462,1,3
2352.9000,123.0908,19.8996,89.0014,2.5309,5.5485,6.4572,7.4522,1,3
2352.9200,122.9795,19.8975,89.0051,2.5325,5.6552,6.4633,7.4545,1,3
2352.9400,122.8882,19.8950,89.0089,2.5345,5.7707,6.4659,7.4529,1,3
2352.9600,122.8286,19.8951,89.0086,2.5367,5.8743,6.4651,7.4468,1,3
2352.9800,122.8013,19.8983,89.0039,2.5391,5.9648,6.4608,7.4363,1,3
2353.0000,122.8108,19.9055,88.9909,2.5415,6.0372,6.4531,7.4210,1,3
2353.0200,122.8587,19.9174,88.9681,2.5440,6.0893,6.4419,7.4009,1,3
2353.0400,122.9392,19.9319,88.9460,2.5466,6.1239,6.4274,7.3763,1,3
2353.0600,123.0373,19.9439,88.9506,2.5490,6.1477,6.4103,7.3481,1,3
2353.0800,123.1525,19.9531,88.9833,2.5513,6.1611,6.3907,7.3163,1,3
2353.1000,123.2835,19.9589,89.0533,2.5534,6.1652,6.3686,7.2811,1,3
2353.1200,123.4298,19.9609,89.1642,2.5553,6.1604,6.3441,7.2424,1,3
2353.1400,123.5859,19.9584,89.3028,2.5570,6.1466,6.3172,7.2006,1,3
2353.1600,123.7380,19.9496,89.4367,2.5584,6.1232,6.2883,7.1560,1,3
2353.1800,123.8856,19.9345,89.5641,2.5594,6.0902,6.2573,7.1087,1,3
2353.2000,124.0268,19.9127,89.6785,2.5602,6.0473,6.2243,7.0587,1,3
2353.2200,124.1608,19.8840,89.7773,2.5606,5.9945,6.1893,7.0060,1,3
2353.2400,124.2837,19.8484,89.8611,2.5607,5.9323,6.1525,6.9509,1,3
2353.2600,124.3853,19.8054,89.9314,2.5605,5.8621,6.1142,6.8941,1,3
