DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX,sample_weight
2737.375,63.88078071,7.4,2.624,84,26.4,25.03,114.2308339,0.9991605403337402
2737.5,64.33634665,8.2,2.625,88,26.78,25.63,115.8474421,0.9993173398567735
2737.625,65.2581729,9.3,2.628,99,22.87,22.23,117.9697648,0.9995851160888298
2737.75,66.38487677,10.6,2.634,112,17.01,16.85,120.4780433,0.9998223558521867
2737.875,67.62825728,11.4,2.641,123,12.05,12.15,123.2716302,0.9999691115022624
2738.0,69.24109049,11.3,2.653,127,9.27,9.47,126.1536886,0.999979547903881
2738.125,69.63520138,11.0,2.667,128,8.09,8.31,128.8766217,0.999992812764827
2738.25,70.49912986,11.1,2.676,128,7.88,8.05,132.1910052,0.999992608989882
2738.375,71.01065059,12.0,2.671,128,8.17,8.29,135.7876359,0.9999650056877841
2738.5,71.60713209,13.6,2.655,129,8.23,8.32,139.7483978,0.9999787381995491
2738.625,73.49971949,15.4,2.637,132,7.71,7.82,144.2538628,0.9999333809613025
2738.75,78.63136319,16.5,2.621,139,6.69,6.86,149.1502703,0.9999722420977074
2738.875,82.30436496,16.7,2.602,149,5.65,5.87,153.7920732,0.9997411394709469
2739.0,84.10500472,16.4,2.58,161,4.85,5.08,157.9495946,0.9992525751139776
2739.125,86.02920997,15.7,2.573,169,4.36,4.58,161.0914591,0.9984511670985877
2739.25,88.37676142,14.6,2.589,171,4.14,4.34,162.8572854,0.9970836514674739
2739.375,89.16405374,13.3,2.624,170,4.12,4.3,163.1512975,0.9965293729926146
2739.5,87.6889061,11.8,2.654,169,4.19,4.36,161.6347293,0.9975286364331974
2739.625,84.27378287,10.4,2.669,168,4.3,4.47,158.8177319,0.9991938192964137
2739.75,81.15970381,9.6,2.673,167,4.55,4.7,155.1917007,0.9999077628965674
2739.875,78.62110965,9.6,2.676,163,5.02,5.13,151.1052405,0.9999770700254592
2740.0,76.1403002,10.1,2.676,157,6.04,6.06,146.8773917,0.9999626365923435
2740.125,73.10527723,10.8,2.667,150,7.12,7.06,142.8483563,0.9999583892078668
2740.25,71.19977087,11.4,2.644,142,8.17,8.07,139.7051736,0.9997666168119853
2740.375,70.77004843,11.8,2.615,134,8.84,8.76,137.5625559,0.9996773632599486
2740.5,71.546825,11.8,2.595,128,8.81,8.79,136.5451333,0.9998281770818519
2740.625,72.78255007,11.6,2.591,125,8.26,8.29,136.6605267,0.9999709978275022
2740.75,73.53712835,11.2,2.6,127,7.48,7.53,137.769487,0.9999995520492394
2740.875,74.33207585,10.6,2.613,132,6.8,6.84,139.3756222,0.9999815176472097
2741.0,74.82242224,10.0,2.629,137,6.36,6.36,140.9026601,0.999945775986016
2741.125,75.00586535,9.4,2.644,141,6.22,6.18,141.8162159,0.9999275771623339
2741.25,74.79089488,8.9,2.648,142,6.33,6.25,141.8953068,0.9999486390206309
2741.375,74.20044573,8.5,2.641,141,6.62,6.49,141.148603,0.9999879144218805
2741.5,73.53418917,8.4,2.633,138,6.98,6.82,139.8374154,0.9999995271222031
2741.625,72.70311056,8.4,2.629,135,7.41,7.23,137.8414656,0.9999850452042127
2741.75,71.27911581,8.6,2.626,131,8.03,7.86,135.5962098,0.9999916356494128
2741.875,70.30836063,8.7,2.622,128,9.1,8.9,133.1872504,0.9999971931422346
2742.0,69.7490857,8.9,2.619,127,10.65,10.33,130.5993941,0.9999999028715553
2742.125,68.86265151,9.0,2.617,126,12.57,12.05,127.8038521,0.9999726625411942
2742.25,67.92310098,8.8,2.608,127,14.35,13.68,125.1298035,0.9999998290887758
2742.375,66.85923819,8.4,2.593,128,15.32,14.65,122.9176611,0.9999501215387795
2742.5,66.38880709,8.1,2.575,130,14.95,14.39,121.2028263,0.9998999499790321
2742.625,66.87706063,8.1,2.562,130,13.54,13.11,120.1160874,0.9999516824542323
2742.75,67.95939003,8.2,2.555,130,11.98,11.63,119.6984857,0.9999999651776182
2742.875,68.24152552,8.2,2.551,129,11.07,10.74,119.826878,0.9999975138964282
2743.0,67.27343169,8.2,2.547,129,10.96,10.61,120.2993189,0.9999799848916504
2743.125,67.39529547,8.1,2.542,129,11.57,11.11,120.7853507,0.9999862196767838
2743.25,67.78694167,8.2,2.536,129,12.9,12.22,121.0623427,0.9999974324821803
2743.375,68.31270965,8.4,2.531,129,14.53,13.64,121.0554707,0.999999894676796
2743.5,68.92329364,8.6,2.529,129,15.93,14.95,120.800947,0.9999828548721243
2743.625,67.95388747,8.7,2.53,129,16.51,15.6,120.3956813,0.9999963208866908
2743.75,67.86018996,8.7,2.528,130,16.33,15.55,120.1128663,0.9999937314424268
2743.875,68.06163484,8.8,2.522,129,15.65,14.97,119.9357769,0.9999984507674524
2744.0,68.30506411,8.8,2.517,128,14.83,14.21,119.9424219,0.9989362537187453
