DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX,sample_weight
2701.25,80.57312782,14.6,2.602,154,5.27,5.52,149.8143663,0.9999968500845969
2701.375,80.42716083,15.1,2.604,157,5.16,5.46,151.285563,0.9999927795455218
2701.5,79.82673209,15.1,2.612,159,5.15,5.48,151.6556185,0.9999999576402381
2701.625,79.08728786,14.9,2.623,158,5.26,5.61,151.0978052,0.9999805016814939
2701.75,78.25436004,14.6,2.635,154,5.49,5.83,149.806814,0.9999738435903596
2701.875,76.78823471,14.2,2.643,149,5.81,6.14,147.9156558,0.9999836064125911
2702.0,75.43354304,13.7,2.649,144,6.15,6.5,146.0708294,0.9998433685437266
2702.125,74.53707717,13.0,2.652,140,6.49,6.86,144.3140356,0.9999065140754563
2702.25,73.52802159,12.2,2.651,137,6.79,7.19,142.6282762,0.9999886940573777
2702.375,72.52972894,11.5,2.647,134,7.05,7.45,141.0759734,0.9999917235468097
2702.5,72.10798976,11.2,2.64,131,7.26,7.64,139.725539,0.9999696099568893
2702.625,71.83535197,11.2,2.636,127,7.43,7.78,138.2316085,0.9999479199541388
2702.75,71.93260801,11.3,2.634,126,7.55,7.87,137.0382436,0.9999563234698191
2702.875,71.82894803,11.2,2.634,128,7.62,7.91,136.0937864,0.9999473406875162
2703.0,71.78468714,11.0,2.63,131,7.63,7.88,135.3900018,0.9999432494985844
2703.125,72.01847651,10.9,2.625,133,7.61,7.81,134.9239513,0.9999631288703337
2703.25,72.3188374,11.0,2.621,136,7.61,7.76,134.6987217,0.9999824024601954
2703.375,72.83059173,11.3,2.619,140,7.59,7.69,134.3469491,0.9999990069960906
2703.5,73.14273806,11.6,2.619,142,7.49,7.58,133.8936883,0.9999990890857419
2703.625,73.0645248,11.6,2.621,142,7.32,7.41,133.0863215,0.9999997832300493
2703.75,72.51254455,11.5,2.626,141,7.26,7.33,131.8372011,0.9999910940472597
2703.875,71.50236115,11.0,2.633,139,7.51,7.56,130.1666266,0.9999987011666683
2704.0,70.13392283,10.2,2.639,136,8.3,8.28,128.0168563,0.9999835536805491
2704.125,69.38284364,9.3,2.639,129,9.64,9.5,125.4678217,0.9999234462435689
2704.25,68.60582493,8.7,2.632,116,11.46,11.15,123.1249961,0.9998148929528289
2704.375,67.8280435,8.5,2.618,104,13.28,12.87,121.1554457,0.9996590218269854
2704.5,67.24045092,8.4,2.603,98,14.55,14.16,119.6527003,0.9995099572341184
2704.625,67.10361693,8.3,2.592,98,14.89,14.61,118.6937371,0.9994713773451013
2704.75,67.76946339,8.2,2.585,99,14.59,14.39,118.2705907,0.9996453699191464
2704.875,68.21757264,8.1,2.581,98,14.19,14.0,118.0573654,0.9997429883996596
2705.0,68.42671647,7.9,2.578,95,14.2,13.95,117.8567167,0.9997831842584377
2705.125,68.21782717,7.7,2.572,93,14.67,14.33,117.6041569,0.9997430393937785
2705.25,67.65665715,7.5,2.565,92,15.47,15.03,117.3579146,0.999618326384888
2705.375,67.98876017,7.2,2.56,89,16.64,16.07,117.3957263,0.9996951009666253
2705.5,67.27393602,7.2,2.56,86,18.18,17.45,117.7796591,0.9995191758013781
2705.625,67.29717533,7.3,2.563,82,19.75,18.9,118.8161023,0.9995255222469809
2705.75,68.38242329,7.7,2.569,80,20.04,19.23,120.6027467,0.9997749564708558
2705.875,70.07209606,8.3,2.58,81,18.3,17.71,123.0289372,0.9999802702503853
